id	imdbid	year	title	rating
6776	1179933	2016	10 Cloverfield Lane	3
6896	3453052	2016	10 Days In A Madhouse	1
6680	2304933	2016	5th Wave, The	2
6978	2112096	2016	Absolutely Fabulous: The Movie	3
6908	2567026	2016	Alice Through the Looking Glass	3
6934	2674430	2016	Approaching the Unknown	0
6720	3838728	2016	Bang Gang	3
6788	2975590	2016	Batman v Superman: Dawn of Justice	3
6942	5512872	2016	Be Somebody	3
6778	3544218	2016	Belgica	1
6964	3691740	2016	BFG, The	3
6821	2702724	2016	Boss, The	3
6755	3882082	2016	Boy, The	3
6980	4513674	2016	Cafe Society	1
6857	3498820	2016	Captain America: Civil War	3
6931	3065204	2016	Conjuring 2, The	3
6761	2652118	2016	Crouching Tiger, Hidden Dragon: Sword of Destiny	3
6970	4104054	2016	Dad&#39;s Army	3
6722	1431045	2016	Deadpool	1
6768	3410834	2016	Divergent Series: Allegiant, The	3
6884	5538078	2016	Extremis	3
6932	2277860	2016	Finding Dory	3
6856	3387542	2016	Forest, The	3
6973	2452386	2016	Fundamentals of Caring, The	3
6977	1289401	2016	Ghostbusters	3
6921	2404233	2016	Gods of Egypt	2
6710	0475290	2016	Hail, Caesar!	1
6820	3072482	2016	Hardcore Henry	1
6916	1292566	2016	How to Be Single	3
6790	2381991	2016	Huntsman: Winter&#39;s War, The	3
6835	5022702	2016	Hush	3
6947	1628841	2016	Independence Day: Resurgence	3
6670	2140037	2016	Jane Got a Gun	0
6837	3040964	2016	Jungle Book, The	1
6812	5091548	2016	Justice League vs. Teen Titans	3
6859	4139124	2016	Keanu	3
6808	2267968	2016	Kung Fu Panda 3	1
6721	4370784	2016	Les innocentes	3
6891	3068194	2016	Love &amp; Friendship	3
6927	2674426	2016	Me Before You	3
6783	2649554	2016	Midnight Special	1
6976	2823054	2016	Mike and Dave Need Wedding Dates	3
6929	2241351	2016	Money Monster	3
6882	4824302	2016	Mother&#39;s Day	3
6909	4438848	2016	Neighbors 2: Sorority Rising	3
6952	1974419	2016	Neon Demon, The	3
6898	3799694	2016	Nice Guys, The	3
6922	3110958	2016	Now You See Me 2	1
6965	3960412	2016	Popstar: Never Stop Never Stopping	1
6713	1374989	2016	Pride and Prejudice and Zombies	3
6962	4094724	2016	Purge: Election Year, The	3
6876	2865120	2016	Ratchet &amp; Clank	3
6963	2709768	2016	Secret Life of Pets, The	2
6953	4052882	2016	Shallows, The	3
6914	3544112	2016	Sing Street	1
6968	4034354	2016	Swiss Army Man	2
6915	3949660	2016	Teenage Mutant Ninja Turtles: Out of the Shadows	3
6779	1712261	2016	Triple 9	3
6669	2938496	2016	Vampires In Virginia	3
6911	0803096	2016	Warcraft	3
6760	3553442	2016	Whiskey Tango Foxtrot	3
6894	3385516	2016	X-Men: Apocalypse	3
6741	2948356	2016	Zootopia	3
6775	4691166	2015	7 Letters	3
6895	3953626	2015	A Country Called Home	3
6271	2639254	2015	A Little Chaos	3
6926	3577624	2015	A Perfect Day	2
6674	3303652	2015	A Sort of Homecoming	3
6685	3090670	2015	Advantageous	3
6667	3717016	2015	After the Ball	3
6530	2710826	2015	AfterDeath	3
6269	1655441	2015	Age of Adaline, The	3
6283	3480446	2015	Almost Mercy	2
6467	1243974	2015	Aloha	3
6472	3316948	2015	American Ultra	1
6677	2401878	2015	Anamolisa	2
6581	3368222	2015	Angry Indian Goddesses	3
6851	3620762	2015	Anguish	3
6696	4069042	2015	Anna Unbound	3
6359	0478970	2015	Ant-Man	2
6217	2395427	2015	Avengers: Age of Ultron	3
6855	2631186	2015	Baahubali: The Beginning	1
6132	3856042	2015	Bad Hair Day	3
6369	1731701	2015	Barely Lethal	3
6426	4437640	2015	Batman Unlimited: Animal Instincts	1
6294	4714032	2015	Battledream Chronicle	3
6291	3704352	2015	Bessie	3
6648	1596363	2015	Big Short, The	1
6715	2978576	2015	Bill	2
6486	1355683	2015	Black Mass	1
6572	2717822	2015	Blackhat	1
6438	3487994	2015	Bloodsucking Bastards	2
6229	4145324	2015	Bound	3
6502	3682448	2015	Bridge of Spies	1
6549	2381111	2015	Brooklyn	3
6612	3707106	2015	By the Sea	3
6644	3268668	2015	Captive	3
6563	2402927	2015	Carol	3
6823	4125300	2015	Case of Hana and Alice, The	3
6134	1823672	2015	Chappie	1
6660	4594834	2015	Chi-Raq	3
6354	1014763	2015	Child 44	2
6152	1661199	2015	Cinderella	3
6683	4576612	2015	Comment c&#39;est loin	1
6719	4515684	2015	Comoara	1
6633	3322364	2015	Concussion	1
6588	3076658	2015	Creed	2
6494	2554274	2015	Crimson Peak	3
6651	1528854	2015	Daddy&#39;s Home	1
6655	0810819	2015	Danish Girl, The	3
6386	3440298	2015	Descendants	3
6737	3172532	2015	Diary of a Teenage Girl, The	3
6222	4056738	2015	Do You Believe?	3
6634	4767274	2015	Dolly Parton&#39;s Coat of Many Colors	3
6479	3850214	2015	Dope	1
6260	4265878	2015	Dora oder Die sexuellen Neurosen unserer Eltern	3
6566	2910904	2015	Dressmaker, The	3
6275	1950135	2015	Drunk Wedding	2
6125	1666801	2015	DUFF, The	3
6107	2570858	2015	Duke of Burgundy, The	3
6409	3416744	2015	End of the Tour, The	1
6303	1674771	2015	Entourage	2
6982	3289728	2015	Equals	3
6913	2719848	2015	Everest	2
6084	0470752	2015	Ex Machina	1
6955	3726704	2015	Experimenter	2
6836	2057392	2015	Eye in the Sky	3
6889	2097331	2015	Family Fang	3
6392	1502712	2015	Fantastic Four	0
6237	2935476	2015	Far From the Madding Crowd	3
6622	1658801	2015	Feeheld	3
6113	2322441	2015	Fifty Shades of Grey	3
6489	2118624	2015	Final Girls, The	3
6254	2381941	2015	Focus	1
6336	4026600	2015	Four Warriors, The	1
6048	4216934	2015	Frau Muller muss weg	3
6186	2820852	2015	Furious 7	3
6325	2561572	2015	Get Hard	1
6197	3711622	2015	Ghosthunters	3
6558	1979388	2015	Good Dinosaur, The	3
6508	1051904	2015	Goosebumps	2
6383	4270516	2015	Grandma	3
6478	2403021	2015	Green Inferno, The	3
6887	4062536	2015	Green Room	3
6328	2515034	2015	Gunman, The	1
6961	5105218	2015	Halal Love	3
6875	3397918	2015	Harbinger Down	3
6628	3460252	2015	Hateful Eight, The	3
6261	3707396	2015	Hedi Schneider steckt fest	3
6925	3766394	2015	Hello, My Name Is Doris	3
6613	2131532	2015	Hidden	3
6593	4472596	2015	Hollow, The	3
6148	2224026	2015	Home	3
6487	2510894	2015	Hotel Transylvania 2	3
6560	1951266	2015	Hunger Games: Mockingjay - Part 2, The	3
6419	3236120	2015	I&#39;ll See You in My Dreams	3
6418	3278330	2015	Il racconto dei racconti	3
6589	1390411	2015	In the Heart of the Sea	1
6255	2096673	2015	Inside Out	3
6292	3195644	2015	Insidious: Chapter 3	3
6157	2908446	2015	Insurgent	3
6643	2361509	2015	Intern, The	3
6726	4420110	2015	Invisible Sister	3
6375	3715320	2015	Irrational Man	2
6868	4485178	2015	Je suis un soldat	3
6553	2357547	2015	Jessica Jones	3
6635	2446980	2015	Joy	3
6101	1617661	2015	Jupiter Ascending	3
6306	0369610	2015	Jurassic World	3
6469	3291148	2015	Just Jim	1
6342	3878542	2015	Justice League: Throne of Atlantis	3
6601	3850590	2015	Krampus	3
6278	3472226	2015	Kung Fury	2
6259	4000768	2015	L&#39;antiquaire	3
6712	3715122	2015	L&#39;attesa	3
6279	4428814	2015	La loi du march&eacute;	1
6187	4392438	2015	La Passion d&#39;Augustine	3
6950	3722070	2015	Lady in the Van, The	3
6297	2493486	2015	Last Knights	1
6684	1618442	2015	Last Witch Hunter, The	3
6166	2918436	2015	Lazarus Effect, The	3
6671	3569230	2015	Legend	3
6786	4466872	2015	Les ogres	3
6732	4319698	2015	Little Big Master	3
6434	1754656	2015	little prince, The	3
6190	2210769	2015	Liza, the fox fairy	3
6614	3464902	2015	Lobster, The	3
