movie_id,title,production_year,votes,vote_mean,vote_sd,theat_gross_dollars,theat_last_date,role,count,count_male,mean_male,wmean_male,mean_age,wmean_age,count_female,status,bechdel_id,imdbid,year,bechdel_title,bechdel_test
362,'71,2014,33341,6.41,2.167,1268760,2015-05-03,actsin,13,11,0.846153846153846,0.993659086310733,35.8461538461538,28.1113508894176,2,mixed,5159,2614684,2014,'71,0
362,'71,2014,33341,6.41,2.167,1268760,2015-05-03,director,1,1,1,1,37,37,0,all male,5159,2614684,2014,'71,0
623,"'night, Mother",1986,1682,7.23,2.627,441863,2016-08-02,actsin,5,1,0.2,0.123178418232829,43.4,43.1740396864977,4,mixed,3155,0090556,1986,"'night, Mother",3
623,"'night, Mother",1986,1682,7.23,2.627,441863,2016-08-02,writer,2,0,0,0,39,39,2,all female,3155,0090556,1986,"'night, Mother",3
845,(500) Days of Summer,2009,369188,7.04,2.389,32391374,2009-11-22,actsin,40,22,0.55,0.560742991884737,35.525,30.3991532046133,18,mixed,434,1022603,2009,(500) Days of Summer,1
845,(500) Days of Summer,2009,369188,7.04,2.389,32391374,2009-11-22,director,1,1,1,1,35,35,0,all male,434,1022603,2009,(500) Days of Summer,1
845,(500) Days of Summer,2009,369188,7.04,2.389,32391374,2009-11-22,writer,1,1,1,1,32,32,0,all male,434,1022603,2009,(500) Days of Summer,1
2013,10 Things I Hate About You,1999,217333,6.88,2.386,38176108,1999-08-29,actsin,31,19,0.612903225806452,0.605846330295259,27.8709677419355,22.3366402380887,12,mixed,374,0147800,1999,10 Things I Hate About You,3
2013,10 Things I Hate About You,1999,217333,6.88,2.386,38176108,1999-08-29,director,1,1,1,1,45,45,0,all male,374,0147800,1999,10 Things I Hate About You,3
2013,10 Things I Hate About You,1999,217333,6.88,2.386,38176108,1999-08-29,writer,1,0,0,0,29,29,1,all female,374,0147800,1999,10 Things I Hate About You,3
2042,"10,000 BC",2008,107576,5.5,2.267,94784201,2008-06-19,actsin,10,8,0.8,0.715958970356281,43.3,32.4175055339856,2,mixed,6825,0443649,2008,"10,000 BC",1
2042,"10,000 BC",2008,107576,5.5,2.267,94784201,2008-06-19,director,1,1,1,1,53,53,0,all male,6825,0443649,2008,"10,000 BC",1
2042,"10,000 BC",2008,107576,5.5,2.267,94784201,2008-06-19,writer,2,2,1,1,52.5,53,0,all male,6825,0443649,2008,"10,000 BC",1
2365,101 Dalmatians,1996,72278,5.5,2.062,136189294,2016-08-02,actsin,18,13,0.722222222222222,0.501897804566654,52.2222222222222,45.6357517293456,5,mixed,1172,0115433,1996,101 Dalmatians,3
2365,101 Dalmatians,1996,72278,5.5,2.062,136189294,2016-08-02,director,1,1,1,1,38,38,0,all male,1172,0115433,1996,101 Dalmatians,3
2365,101 Dalmatians,1996,72278,5.5,2.062,136189294,2016-08-02,writer,2,1,0.5,0.442493334024442,73,76.1053599626801,1,mixed,1172,0115433,1996,101 Dalmatians,3
2393,102 Dalmatians,2000,25917,5.05,2.202,66957026,2016-08-02,actsin,23,16,0.695652173913043,0.633573473882723,44.4782608695652,45.0927841585737,7,mixed,6002,0211181,2000,102 Dalmatians,3
2393,102 Dalmatians,2000,25917,5.05,2.202,66957026,2016-08-02,director,1,1,1,1,38,38,0,all male,6002,0211181,2000,102 Dalmatians,3
2393,102 Dalmatians,2000,25917,5.05,2.202,66957026,2016-08-02,writer,1,0,0,0,100,100,1,all female,6002,0211181,2000,102 Dalmatians,3
